tweet,sentimiento,target
TQM BRONCO,1,bronco
DebatesMx bronco dices Putra mamada,0,bronco
Really le acaba de decir ANIMAL a   Jajaa seas mamon Bronco,1,bronco
DebateINE | Candidatos tienen un minuto para responder preguntas y hacer dos réplicas de 30 segundos.   ENVIVO:,2,debate
Viendo el DebateINE,2,debate
Me gustó un video de   MEMES Javier Lozano Piden que AMLO no MANEJE al PAIS,0,amlo
AMLO Presidente,1,amlo
¿Qué relinchó el bronco?,0,bronco
Sismo sin daños reportados en cdmx antes del DebateINE. ¿Presagio funesto ante lo que se escuchará o el Diablo se enojó porque ganaron los Santos?,3,debate
El tiempo le ha dado la razón| la edad experiencia| las adversidades temple y el pueblo amor JuntosHaremosHistoria MéxicoConAMLO AMLOPresidente2018 TodosConAMLO PeaceAMLOve  AMLOVE DebateINE,1,debate
Acaba de empezar el show del bronco!!!,1,bronco
DebatesMx ya dijo su primera mamada el bronco,0,bronco
Me puede repetir la pregunta’ DebateINE,2,debate
AMLO siendo AMLO PrietosEnAprietos,0,amlo
El Bronco sin cartelito no es lo mismo,2,bronco
Nuestro futuro presidente el Bronco considera a India continente aparte y quiere hacer libre comercio entre nosotros. Ya culichis| no nos cobren tam caros los jitomates,1,bronco
Mood: DebateINE,2,debate
Todos los vatos que harán las preguntas del público serán los próximos memes! DebateINE Elecciones2018,3,debate
Jajajajajaja pinché Bronco ni 10 segundos y ya dijo “Destetarnos” y “Trum” DebatePresidencial2018,0,bronco
No mames! El Bronco habló primero y no la cagó! 😱😱 DebateINE,1,bronco
Suramérica ? 🤔🤨 DebateINE,3,debate
"Ahora: ""Tenemos que ""destetarnos"" de Estados Unidos"": ElBronco  DebateINE",2,bronco
Cuando el Bronco responde algo legítimo| agárrense.,1,bronco
¡Ya empezó el mame! JaimeRdzNL DebatesMx ALERTASÍSMICA,3,debate
HidalgoConMeade,1,meade
LOL| TLCAN entre México del Bronco jajajaja| SE LLAMA TLCAN POR TRATADO DE AMÉRICA DEL NORTE.,0,bronco
Verga wey el pinche AMLO va a causar que noz invada Trump,0,amlo
Ahorro de AMLO derecho a su bolsillo| dinero para propaganda se le ha dado| no creo que le paguen a  millones para volantear en el metro.,0,amlo
DebateINE el público lleva acordeón jaja,0,debate
AMLO proponiendo entrar al ALBA.,3,amlo
Voy a votar por ‘El Bronco’ porque da risa. DebateINE,1,bronco
Jajajajaajajajajaja la mejor politica exterior es la interior - AMLO,2,amlo
Escuchar al Bronco decir TrUmp me da vida DebateINE,3,bronco
Hail bronco 👍🏼,1,bronco
Ya no eres cagado Bronco.,0,bronco
DebateINE más creppy que he precenciado por la puta AlertaSísmica,0,debate
Alguien dígale al Bronco que India y Japón están en Asia. 😂 Y si| ya empecé. sorry SegundoDebatePresidencial,0,bronco
apoyar a Ricardo Anaya,1,anaya
Comienza el Segundo Debate Presidencial ¡Sigue el minuto a minuto aquí!  Sexenio18 DebateINE,2,debate
🍿DebateINE,2,debate
